ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
49566	COMMUNE DE PARIS	2009-07-06	35,173	512	2	1
49690	Saint Gobain DSI Groupe	2009-08-24	35,872	512	1	
49763	EDITIONS AIXOISES MULTIMEDIA	2009-09-08	34,475	512	3	
50123	Bluestar Silicones France SAS	2009-11-19	35,228	512	3	
50547	Regie du Reseau Cable du Haut Sundgau	2010-02-08	36,654	512	1	
51038	Hospices civils de Lyon	2010-05-20	34,611	512	1	1
51806	SAS CYBER IMAGINATION (CYIM)	2010-11-08	33,039	512	1	1
52120	DIGITICK SA	2010-12-31	33,761	512	1	
52127	Axway Software SA	2011-01-04	37,283	512	1	
56553	Bayard Informatique SARL unipersonnelle	2011-03-16	32,572	512	1	
56774	Chambre de commerce et d'Industrie de Paris	2012-03-30	33,983	512	1	
57161	Omer Telecom Ltd.	2011-08-09	34,755	512	1	
57284	REGION PICARDIE	2011-09-14	36,860	512	1	
57591	Alpha system	2011-12-06	34,825	512	3	
59911	P.C. & Associes SRL	2014-08-14	37,316	512	1	
59944	EDD SA	2014-07-30	36,590	512	2	2
60174	RTE Reseau de transport d'electricite S.A.	2013-09-10	35,222	512	3	
60197	Lorraine Data Network	2013-09-05	35,917	512	2	2
60555	Micro & Services Informatiques SAS	2013-06-26	33,858	512	1	
61198	Awedia SARL	2013-01-15	33,233	512	2	1
61984	Reseau Concept SARL	2014-04-03	37,235	512	2	
62076	OTCEX SA PLC	2014-02-21	35,817	512	2	
197114	FLKMEDIA FLK Media SARL,FR	2010-06-09	33,487	512	1	
197138	TELERGOS-GROUPE Groupe Telergos SAS,FR	2010-06-25	32,773	512	2	2
197161	BUSINESSGEOGRAPHIC Business Geografic Sas,FR	2010-07-07	33,492	512	1	
197737	QUADIX Quadix Technologies SAS,FR	2011-04-08	34,988	512	2	
197744	MONECAM Monecam SAS,FR	2011-04-12	34,280	512	2	
198575	MANCHE-AS Departement de la Manche,FR	2012-03-14	36,765	512	1	
198750	AGECE Association de Gestion Ecole Centrale Delect	2012-05-01	32,629	512	2	
199074	EXA-AS EXAPROBE SAS,FR	2012-08-06	34,772	512	2	
199117	ASN-ARSOE-BRETAGNE ARSOE de Bretagne - Cooperative	2012-08-15	34,781	512	2	
199190	CGGVERITAS-AS CGG SERVICES SA,FR	2012-09-11	36,206	512	2	
199396	SAMES-WIRELESS Sames Wireless,FR	2013-02-06	35,534	512	1	1
199575	CIRRA Centre Interbancaire Regional Rhone Alpes SA	2012-11-20	36,250	512	2	
199813	LISP-LAB Rezopole A.D.,FR	2014-01-17	35,596	512	2	1
199934	ALYSEO ALYSEO SARL,FR	2013-12-04	34,203	512	2	
199983	AS123MULTIMEDIA 123 multimedia SAS,FR	2013-11-13	34,212	512	1	
200069	MAILJET MAILJET SAS,FR	2013-10-16	34,230	512	2	
201961	WANAGAIN54 Wan Again SARL,FR	2014-05-19	32,962	512	2	
202069	COMUTO Comuto SAS,FR	2014-04-22	32,283	512	2	1
2484	AFNIC (Association Francaise pour le Nommage Inter	1993-09-01	49,213	256	1	1
3298	Societe Generale	1995-01-24	38,801	256	1	
8908	SWISSLIFE BANQUE PRIVEE SA	1998-07-29	49,365	256	1	
8945	Mesagraph SAS	2009-07-29	38,879	256	1	
